"Name","Computation Approach","Computation Structure JSON","Configuration Level","Fleeti Field","Fleeti Field Data Type","Fleeti Field Path","Fleeti Field Unit","Mapping Type","Notes","Provider","Provider Field (db)","Provider Field Unit","Provider Fields","Status","Version Added","💽 YAML Configurations (db)"
"driver.driver_last_changed_at from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
"fuel.fuel_consumption_cumulative_last_updated_at from Navixy","","","default","","","","","calculated","","navixy","","","","planned","",""
